Acquisition Time	Negative Width	Fall Time	Rise Time	Peak-to-Peak
2460951.518622685224	1.72E-8	8.8E-9	2.12E-8	4.800000191E-1
2460951.518692129757	1.58E-8	6.6E-9	2.38E-8	4.960000217E-1
2460951.518726851791	1.73E-8	8.4E-9	2.18E-8	9.920000434E-1
2460951.518761574291	1.81E-8	7.3E-9	2.22E-8	5.519999862E-1
2460951.518796296325	1.77E-8	9.8E-9	2.37E-8	5.199999809E-1
2460951.518865740858	1.66E-8	8.4E-9	2.42E-8	6.560000181E-1
2460951.518900462892	1.77E-8	8.2E-9	2.28E-8	4.079999924E-1
2460951.518935185391	1.65E-8	8.5E-9	2.54E-8	4.480000138E-1
2460951.518969907425	1.78E-8	7.4E-9	2.44E-8	4.640000165E-1
2460951.519016203471	1.61E-8	1.05E-8	2.34E-8	6.400000453E-1
2460951.519050925970	1.61E-8	6.5E-9	2.14E-8	4.880000055E-1
2460951.519085648004	1.64E-8	6.6E-9	2.16E-8	5.120000243E-1
2460951.519131944515	1.71E-8	4.8E-9	2.14E-8	4.400000274E-1
2460951.519166666549	1.44E-8	8.1E-9	2.68E-8	4.240000248E-1
2460951.519201389048	1.61E-8	6.6E-9	2.06E-8	4.320000112E-1
2460951.519236111082	1.58E-8	5.2E-9	2.3E-8	4.000000358E-1
2460951.519282407593	1.2E-8	7.8E-9	2.27E-8	4.079999924E-1
2460951.519328703638	1.65E-8	6.8E-9	2.09E-8	4.960000217E-1
2460951.519386574160	1.96E-8	5.7E-9	2.12E-8	5.84000051E-1
2460951.519456018694	1.72E-8	8.4E-9	2.0E-8	4.560000002E-1
2460951.519490740728	1.75E-8	1.11E-8	2.34E-8	7.039999962E-1
2460951.519525462762	1.84E-8	5.8E-9	2.02E-8	7.200000286E-1
2460951.519560185261	1.73E-8	8.4E-9	2.12E-8	4.720000327E-1
2460951.519606481306	1.77E-8	7.0E-9	2.22E-8	4.560000002E-1
2460951.519629629795	2.0E-8	7.4E-9	2.24E-8	4.480000138E-1
2460951.519699073862	2.14E-8	9.0E-9	1.88E-8	4.240000248E-1
2460951.519733796362	1.99E-8	7.4E-9	2.18E-8	4.399999976E-1
2460951.519780092407	1.76E-8	7.2E-9	2.26E-8	5.200000405E-1
2460951.519861110952	1.66E-8	9.7E-9	1.84E-8	4.079999924E-1
2460951.519895833451	1.61E-8	9.0E-9	1.76E-8	5.520000458E-1
2460951.519930555485	1.96E-8	8.6E-9	2.72E-8	4.640000165E-1
2460951.519965277985	1.7E-8	8.4E-9	1.92E-8	5.200000405E-1
2460951.520000000019	2.16E-8	8.0E-9	2.56E-8	4.720000029E-1
2460951.520046296529	1.57E-8	6.0E-9	2.04E-8	4.560000002E-1
2460951.520115740597	1.83E-8	6.8E-9	1.8E-8	4.880000055E-1
2460951.520150463097	1.73E-8	1.05E-8	2.16E-8	4.800000191E-1
2460951.520185185131	1.92E-8	6.8E-9	1.96E-8	5.760000348E-1
2460951.520219907630	1.88E-8	8.0E-9	1.84E-8	4.880000055E-1
2460951.520254629664	1.77E-8	7.8E-9	2.14E-8	6.000000238E-1
2460951.520300925709	2.03E-8	7.8E-9	2.01E-8	4.5600003E-1
2460951.520370370243	1.76E-8	8.0E-9	2.0E-8	5.440000296E-1
2460951.520405092742	1.98E-8	6.2E-9	2.32E-8	8.4799999E-1
2460951.520486111287	1.67E-8	1.02E-8	2.1E-8	6.480000615E-1
2460951.520520833321	1.67E-8	6.9E-9	2.46E-8	1.3920000792E0
2460951.520555555355	1.82E-8	7.5E-9	1.96E-8	4.880000055E-1
2460951.520590277854	1.56E-8	1.18E-8	2.09E-8	6.9599998E-1
2460951.520671296399	1.5E-8	9.3E-9	2.26E-8	4.320000112E-1
2460951.520717592444	1.76E-8	7.5E-9	2.06E-8	8.24000001E-1
2460951.520752314944	1.7E-8	8.4E-9	2.13E-8	5.680000186E-1
2460951.520787036978	1.88E-8	5.6E-9	2.0E-8	1.0720000267E0
2460951.520810185000	1.9E-8	8.5E-9	2.2E-8	4.960000217E-1
2460951.520844907500	1.62E-8	8.9E-9	2.22E-8	8.320000768E-1
2460951.520879629534	1.69E-8	7.4E-9	2.72E-8	4.640000165E-1
2460951.520914352033	1.88E-8	7.6E-9	2.02E-8	4.00000006E-1
2460951.520949074067	1.72E-8	9.1E-9	2.6E-8	4.640000165E-1
2460951.520983796101	1.5E-8	7.0E-9	2.08E-8	4.23999995E-1
2460951.521030092612	1.76E-8	7.3E-9	2.18E-8	1.3120000362E0
2460951.521064814646	1.54E-8	5.6E-9	2.3E-8	4.160000086E-1
2460951.521099537145	1.45E-8	6.8E-9	2.19E-8	4.240000248E-1
