Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]	Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]
2460957.644918981474	2.16E-8	6.8E-9	2.26E-8	2.5999999046E0	2460957.644918981474	1.9E-8	1.0E-8	1.71E-8	1.5599999428E0
2460957.645011574030	1.91E-8	9.2E-9	2.18E-8	3.0999999046E0	2460957.645011574030	1.96E-8	1.0E-8	1.71E-8	3.879999876E0
2460957.645069444552	1.64E-8	6.8E-9	2.38E-8	1.7199999094E0	2460957.645069444552	1.57E-8	7.4E-9	2.11E-8	1.3999998569E0
2460957.645115740597	1.98E-8	7.1E-9	2.42E-8	3.5599999428E0	2460957.645115740597	1.76E-8	6.0E-9	2.28E-8	3.6399998665E0
2460957.645162037108	1.91E-8	7.4E-9	2.68E-8	3.0199999809E0	2460957.645162037108	1.79E-8	9.4E-9	2.42E-8	1.7599998713E0
2460957.645219907630	1.73E-8	1.19E-8	1.95E-8	1.1199998856E0	2460957.645219907630	1.45E-8	1.03E-8	2.76E-8	1.3000000715E0
2460957.645266203675	1.6E-8	1.03E-8	2.25E-8	1.6599999666E0	2460957.645266203675	1.44E-8	6.1E-9	2.23E-8	1.2399998903E0
2460957.645312500186	1.88E-8	1.33E-8	1.95E-8	2.3999998569E0	2460957.645312500186	1.93E-8	9.8E-9	1.99E-8	1.9400000572E0
2460957.645370370243	1.57E-8	1.06E-8	2.13E-8	1.7399998903E0	2460957.645370370243	1.79E-8	1.03E-8	1.97E-8	1.8200000525E0
2460957.645416666754	1.69E-8	7.4E-9	2.25E-8	2.879999876E0	2460957.645416666754	1.62E-8	6.1E-9	2.16E-8	1.8399999142E0
2460957.645462962799	1.45E-8	4.9E-9	1.73E-8	1.939999938E0	2460957.645462962799	1.46E-8	9.0E-9	2.11E-8	2.0599999428E0
2460957.645520833321	1.86E-8	1.02E-8	1.69E-8	2.1399998665E0	2460957.645520833321	1.75E-8	9.8E-9	1.79E-8	1.5799999237E0
2460957.645567129832	2.24E-8	9.0E-9	2.47E-8	1.6599999666E0	2460957.645567129832	1.63E-8	9.5E-9	1.46E-8	2.3599998951E0
2460957.645624999888	1.55E-8	1.08E-8	2.13E-8	3.8999998569E0	2460957.645624999888	1.9E-8	7.4E-9	1.74E-8	3.0799999237E0
2460957.645775462966	1.7E-8	6.0E-9	1.6E-8	1.8999999762E0	2460957.645775462966	1.59E-8	9.7E-9	2.08E-8	3.5599999428E0
2460957.645972222090	1.66E-8	6.5E-9	2.08E-8	2.3399999142E0	2460957.645972222090	1.86E-8	1.19E-8	1.56E-8	2.0999999046E0
2460957.646018518601	1.45E-8	6.6E-9	2.27E-8	2.5E0	2460957.646018518601	1.97E-8	9.6E-9	2.3E-8	2.7399997711E0
2460957.646168981679	2.08E-8	6.8E-9	2.44E-8	2.1599998474E0	2460957.646168981679	1.92E-8	1.08E-8	1.71E-8	3.8399999142E0
2460957.646215277724	1.94E-8	9.3E-9	1.93E-8	3.9399998188E0	2460957.646215277724	1.67E-8	7.8E-9	2.03E-8	3.0599999428E0
2460957.646319444291	1.9E-8	7.3E-9	2.2E-8	1.5599999428E0	2460957.646319444291	1.43E-8	9.1E-9	1.53E-8	1.2199999094E0
2460957.646458333358	1.66E-8	6.8E-9	2.16E-8	1.9999998808E0	2460957.646458333358	1.59E-8	7.1E-9	1.72E-8	1.5199998617E0
2460957.646712963004	1.76E-8	6.6E-9	2.21E-8	2.2799999714E0	2460957.646712963004	1.9E-8	9.9E-9	2.15E-8	3.7999999523E0
2460957.646863426082	1.64E-8	1.29E-8	2.42E-8	2.2999999523E0	2460957.646863426082	1.64E-8	7.0E-9	1.53E-8	2.1199998856E0
2460957.647152777761	2.06E-8	6.1E-9	1.95E-8	1.4799998999E0	2460957.647152777761	1.28E-8	9.8E-9	1.57E-8	1.7599998713E0
2460957.647303240839	1.58E-8	1.1E-8	2.22E-8	2.0799999237E0	2460957.647303240839	1.28E-8	8.3E-9	1.82E-8	1.6799999475E0
2460957.647407407407	1.98E-8	8.0E-9	2.21E-8	3.3199999332E0	2460957.647407407407	1.99E-8	8.5E-9	1.86E-8	2.2799999714E0
2460957.647453703918	1.35E-8	6.2E-9	2.06E-8	2.4199998379E0	2460957.647453703918	1.59E-8	6.4E-9	1.93E-8	1.8599998951E0
